entrez,symbol,term_id,term_name,source
6833,ABCC8,CXXX,No diseases associated,PSYGENET
10060,ABCC9,CXXX,No diseases associated,PSYGENET
89845,ABCC10,CXXX,No diseases associated,PSYGENET
85320,ABCC11,CXXX,No diseases associated,PSYGENET
94160,ABCC12,CXXX,No diseases associated,PSYGENET
215,ABCD1,CXXX,No diseases associated,PSYGENET
225,ABCD2,CXXX,No diseases associated,PSYGENET
5825,ABCD3,CXXX,No diseases associated,PSYGENET
5826,ABCD4,CXXX,No diseases associated,PSYGENET
6059,ABCE1,CXXX,No diseases associated,PSYGENET
23,ABCF1,CXXX,No diseases associated,PSYGENET
10061,ABCF2,CXXX,No diseases associated,PSYGENET
55324,ABCF3,CXXX,No diseases associated,PSYGENET
9619,ABCG1,CXXX,No diseases associated,PSYGENET
9429,ABCG2,CXXX,No diseases associated,PSYGENET
64137,ABCG4,CXXX,No diseases associated,PSYGENET
64240,ABCG5,CXXX,No diseases associated,PSYGENET
64241,ABCG8,CXXX,No diseases associated,PSYGENET
84696,ABHD1,CXXX,No diseases associated,PSYGENET
11057,ABHD2,CXXX,No diseases associated,PSYGENET
171586,ABHD3,CXXX,No diseases associated,PSYGENET
63874,ABHD4,CXXX,No diseases associated,PSYGENET
51099,ABHD5,CXXX,No diseases associated,PSYGENET
57406,ABHD6,CXXX,No diseases associated,PSYGENET
79575,ABHD8,CXXX,No diseases associated,PSYGENET
55347,ABHD10,CXXX,No diseases associated,PSYGENET
83451,ABHD11,CXXX,No diseases associated,PSYGENET
26090,ABHD12,CXXX,No diseases associated,PSYGENET
145447,ABHD12B,CXXX,No diseases associated,PSYGENET
84945,ABHD13,CXXX,No diseases associated,PSYGENET
25864,ABHD14A,CXXX,No diseases associated,PSYGENET
84836,ABHD14B,CXXX,No diseases associated,PSYGENET
116236,ABHD15,CXXX,No diseases associated,PSYGENET
7920,ABHD16A,CXXX,No diseases associated,PSYGENET
140701,ABHD16B,CXXX,No diseases associated,PSYGENET
81926,ABHD17A,CXXX,No diseases associated,PSYGENET
51104,ABHD17B,CXXX,No diseases associated,PSYGENET
58489,ABHD17C,CXXX,No diseases associated,PSYGENET
80167,ABHD18,CXXX,No diseases associated,PSYGENET
10006,ABI1,CXXX,No diseases associated,PSYGENET
10152,ABI2,CXXX,No diseases associated,PSYGENET
51225,ABI3,CXXX,No diseases associated,PSYGENET
54942,ABITRAM,CXXX,No diseases associated,PSYGENET
25,ABL1,CXXX,No diseases associated,PSYGENET
27,ABL2,CXXX,No diseases associated,PSYGENET
3983,ABLIM1,CXXX,No diseases associated,PSYGENET
84448,ABLIM2,CXXX,No diseases associated,PSYGENET
22885,ABLIM3,CXXX,No diseases associated,PSYGENET
29,ABR,CXXX,No diseases associated,PSYGENET
137735,ABRA,CXXX,No diseases associated,PSYGENET
58527,ABRACL,CXXX,No diseases associated,PSYGENET
84142,ABRAXAS1,CXXX,No diseases associated,PSYGENET
23172,ABRAXAS2,CXXX,No diseases associated,PSYGENET
29777,ABT1,CXXX,No diseases associated,PSYGENET
80325,ABTB1,CXXX,No diseases associated,PSYGENET
25841,ABTB2,CXXX,No diseases associated,PSYGENET
30,ACAA1,CXXX,No diseases associated,PSYGENET
10449,ACAA2,CXXX,No diseases associated,PSYGENET
31,ACACA,CXXX,No diseases associated,PSYGENET
32,ACACB,CXXX,No diseases associated,PSYGENET
27034,ACAD8,CXXX,No diseases associated,PSYGENET
28976,ACAD9,CXXX,No diseases associated,PSYGENET
80724,ACAD10,CXXX,No diseases associated,PSYGENET
84129,ACAD11,CXXX,No diseases associated,PSYGENET
33,ACADL,CXXX,No diseases associated,PSYGENET
34,ACADM,CXXX,No diseases associated,PSYGENET
36,ACADSB,CXXX,No diseases associated,PSYGENET
37,ACADVL,CXXX,No diseases associated,PSYGENET
176,ACAN,CXXX,No diseases associated,PSYGENET
9744,ACAP1,CXXX,No diseases associated,PSYGENET
23527,ACAP2,CXXX,No diseases associated,PSYGENET
116983,ACAP3,CXXX,No diseases associated,PSYGENET
38,ACAT1,CXXX,No diseases associated,PSYGENET
39,ACAT2,CXXX,No diseases associated,PSYGENET
64746,ACBD3,CXXX,No diseases associated,PSYGENET
79777,ACBD4,CXXX,No diseases associated,PSYGENET
91452,ACBD5,CXXX,No diseases associated,PSYGENET
84320,ACBD6,CXXX,No diseases associated,PSYGENET
414149,ACBD7,CXXX,No diseases associated,PSYGENET
84680,ACCS,CXXX,No diseases associated,PSYGENET
390110,ACCSL,CXXX,No diseases associated,PSYGENET
65057,ACD,CXXX,No diseases associated,PSYGENET
59272,ACE2,CXXX,No diseases associated,PSYGENET
125981,ACER1,CXXX,No diseases associated,PSYGENET
340485,ACER2,CXXX,No diseases associated,PSYGENET
55331,ACER3,CXXX,No diseases associated,PSYGENET
22985,ACIN1,CXXX,No diseases associated,PSYGENET
2532,ACKR1,CXXX,No diseases associated,PSYGENET
1238,ACKR2,CXXX,No diseases associated,PSYGENET
57007,ACKR3,CXXX,No diseases associated,PSYGENET
51554,ACKR4,CXXX,No diseases associated,PSYGENET
47,ACLY,CXXX,No diseases associated,PSYGENET
130013,ACMSD,CXXX,No diseases associated,PSYGENET
48,ACO1,CXXX,No diseases associated,PSYGENET
50,ACO2,CXXX,No diseases associated,PSYGENET
730249,ACOD1,CXXX,No diseases associated,PSYGENET
641371,ACOT1,CXXX,No diseases associated,PSYGENET
10965,ACOT2,CXXX,No diseases associated,PSYGENET
122970,ACOT4,CXXX,No diseases associated,PSYGENET
641372,ACOT6,CXXX,No diseases associated,PSYGENET
11332,ACOT7,CXXX,No diseases associated,PSYGENET
10005,ACOT8,CXXX,No diseases associated,PSYGENET
23597,ACOT9,CXXX,No diseases associated,PSYGENET
26027,ACOT11,CXXX,No diseases associated,PSYGENET
134526,ACOT12,CXXX,No diseases associated,PSYGENET
55856,ACOT13,CXXX,No diseases associated,PSYGENET
51,ACOX1,CXXX,No diseases associated,PSYGENET
8309,ACOX2,CXXX,No diseases associated,PSYGENET
8310,ACOX3,CXXX,No diseases associated,PSYGENET
55289,ACOXL,CXXX,No diseases associated,PSYGENET
53,ACP2,CXXX,No diseases associated,PSYGENET
55,ACP3,CXXX,No diseases associated,PSYGENET
93650,ACP4,CXXX,No diseases associated,PSYGENET
54,ACP5,CXXX,No diseases associated,PSYGENET
51205,ACP6,CXXX,No diseases associated,PSYGENET
390928,ACP7,CXXX,No diseases associated,PSYGENET
49,ACR,CXXX,No diseases associated,PSYGENET
84519,ACRBP,CXXX,No diseases associated,PSYGENET
56,ACRV1,CXXX,No diseases associated,PSYGENET
23205,ACSBG1,CXXX,No diseases associated,PSYGENET
81616,ACSBG2,CXXX,No diseases associated,PSYGENET
80221,ACSF2,CXXX,No diseases associated,PSYGENET
197322,ACSF3,CXXX,No diseases associated,PSYGENET
2180,ACSL1,CXXX,No diseases associated,PSYGENET
2181,ACSL3,CXXX,No diseases associated,PSYGENET
2182,ACSL4,CXXX,No diseases associated,PSYGENET
51703,ACSL5,CXXX,No diseases associated,PSYGENET
123876,ACSM2A,CXXX,No diseases associated,PSYGENET
348158,ACSM2B,CXXX,No diseases associated,PSYGENET
6296,ACSM3,CXXX,No diseases associated,PSYGENET
341392,ACSM4,CXXX,No diseases associated,PSYGENET
54988,ACSM5,CXXX,No diseases associated,PSYGENET
142827,ACSM6,CXXX,No diseases associated,PSYGENET
84532,ACSS1,CXXX,No diseases associated,PSYGENET
55902,ACSS2,CXXX,No diseases associated,PSYGENET
79611,ACSS3,CXXX,No diseases associated,PSYGENET
58,ACTA1,CXXX,No diseases associated,PSYGENET
59,ACTA2,CXXX,No diseases associated,PSYGENET
345651,ACTBL2,CXXX,No diseases associated,PSYGENET
70,ACTC1,CXXX,No diseases associated,PSYGENET
71,ACTG1,CXXX,No diseases associated,PSYGENET
72,ACTG2,CXXX,No diseases associated,PSYGENET
86,ACTL6A,CXXX,No diseases associated,PSYGENET
51412,ACTL6B,CXXX,No diseases associated,PSYGENET
10881,ACTL7A,CXXX,No diseases associated,PSYGENET
10880,ACTL7B,CXXX,No diseases associated,PSYGENET
