entrez,symbol,term_id,term_name,source
158067,AK8,CXXX,No diseases associated,PSYGENET
221264,AK9,CXXX,No diseases associated,PSYGENET
642597,AKAIN1,CXXX,No diseases associated,PSYGENET
8165,AKAP1,CXXX,No diseases associated,PSYGENET
10566,AKAP3,CXXX,No diseases associated,PSYGENET
8852,AKAP4,CXXX,No diseases associated,PSYGENET
9495,AKAP5,CXXX,No diseases associated,PSYGENET
9472,AKAP6,CXXX,No diseases associated,PSYGENET
9465,AKAP7,CXXX,No diseases associated,PSYGENET
26993,AKAP8L,CXXX,No diseases associated,PSYGENET
10142,AKAP9,CXXX,No diseases associated,PSYGENET
11215,AKAP11,CXXX,No diseases associated,PSYGENET
9590,AKAP12,CXXX,No diseases associated,PSYGENET
11214,AKAP13,CXXX,No diseases associated,PSYGENET
158798,AKAP14,CXXX,No diseases associated,PSYGENET
8227,AKAP17A,CXXX,No diseases associated,PSYGENET
56672,AKIP1,CXXX,No diseases associated,PSYGENET
79647,AKIRIN1,CXXX,No diseases associated,PSYGENET
55122,AKIRIN2,CXXX,No diseases associated,PSYGENET
80709,AKNA,CXXX,No diseases associated,PSYGENET
254268,AKNAD1,CXXX,No diseases associated,PSYGENET
231,AKR1B1,CXXX,No diseases associated,PSYGENET
57016,AKR1B10,CXXX,No diseases associated,PSYGENET
