entrez,symbol,term_id,term_name,source
546,ATRX,C1621958,Glioblastoma Multiforme,CGI
581,BAX,C1319315,Adenocarcinoma of large intestine,CGI
581,BAX,C1961099,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,CGI
595,CCND1,C0025202,melanoma,CGI
595,CCND1,C0151779,Cutaneous Melanoma,CGI
604,BCL6,C0023434,Chronic Lymphocytic Leukemia,CGI
604,BCL6,C0024305,"Lymphoma, Non-Hodgkin",CGI
639,PRDM1,C0079744,Diffuse Large B-Cell Lymphoma,CGI
641,BLM,C0007137,Squamous cell carcinoma,CGI
641,BLM,C0023418,leukemia,CGI
668,FOXL2,C1332218,Adult Type Ovarian Granulosa Cell Tumor,CGI
668,FOXL2,C1370419,Ovarian Granulosa Cell Tumor,CGI
672,BRCA1,C0006142,Malignant neoplasm of breast,CGI
672,BRCA1,C0007112,Adenocarcinoma of prostate,CGI
672,BRCA1,C0029925,Ovarian Carcinoma,CGI
672,BRCA1,C0030297,Pancreatic Neoplasm,CGI
672,BRCA1,C0235974,Pancreatic carcinoma,CGI
672,BRCA1,C0346647,Malignant neoplasm of pancreas,CGI
672,BRCA1,C0347284,Benign tumor of pancreas,CGI
672,BRCA1,C0496920,Neoplasm of uncertain or unknown behavior of ovary,CGI
672,BRCA1,C0496956,Neoplasm of uncertain or unknown behavior of breast,CGI
672,BRCA1,C0678222,Breast Carcinoma,CGI
672,BRCA1,C0858252,Breast adenocarcinoma,CGI
672,BRCA1,C0919267,ovarian neoplasm,CGI
672,BRCA1,C1140680,Malignant neoplasm of ovary,CGI
673,BRAF,C0006142,Malignant neoplasm of breast,CGI
673,BRAF,C0007112,Adenocarcinoma of prostate,CGI
673,BRAF,C0007115,Malignant neoplasm of thyroid,CGI
673,BRAF,C0007131,Non-Small Cell Lung Carcinoma,CGI
673,BRAF,C0017638,Glioma,CGI
673,BRAF,C0019621,"Histiocytosis, Langerhans-Cell",CGI
673,BRAF,C0023434,Chronic Lymphocytic Leukemia,CGI
673,BRAF,C0023443,Hairy Cell Leukemia,CGI
673,BRAF,C0023473,"Myeloid Leukemia, Chronic",CGI
673,BRAF,C0024305,"Lymphoma, Non-Hodgkin",CGI
673,BRAF,C0024623,Malignant neoplasm of stomach,CGI
673,BRAF,C0025202,melanoma,CGI
673,BRAF,C0026764,Multiple Myeloma,CGI
673,BRAF,C0029925,Ovarian Carcinoma,CGI
673,BRAF,C0040136,Thyroid Neoplasm,CGI
673,BRAF,C0151779,Cutaneous Melanoma,CGI
673,BRAF,C0152013,Adenocarcinoma of lung (disorder),CGI
673,BRAF,C0153633,Malignant neoplasm of brain,CGI
673,BRAF,C0153943,Benign neoplasm of stomach,CGI
673,BRAF,C0154060,Carcinoma in situ of stomach,CGI
673,BRAF,C0206698,Cholangiocarcinoma,CGI
673,BRAF,C0235974,Pancreatic carcinoma,CGI
673,BRAF,C0242379,Malignant neoplasm of lung,CGI
673,BRAF,C0278600,Childhood Brain Stem Glioma,CGI
673,BRAF,C0334579,Anaplastic astrocytoma,CGI
673,BRAF,C0334583,Pilocytic Astrocytoma,CGI
673,BRAF,C0496905,Neoplasm of uncertain or unknown behavior of stomach,CGI
673,BRAF,C0496920,Neoplasm of uncertain or unknown behavior of ovary,CGI
673,BRAF,C0496956,Neoplasm of uncertain or unknown behavior of breast,CGI
673,BRAF,C0549473,Thyroid carcinoma,CGI
673,BRAF,C0678222,Breast Carcinoma,CGI
673,BRAF,C0684249,Carcinoma of lung,CGI
673,BRAF,C0699790,Colon Carcinoma,CGI
673,BRAF,C0699791,Stomach Carcinoma,CGI
673,BRAF,C0858252,Breast adenocarcinoma,CGI
673,BRAF,C0878675,Erdheim-Chester Disease,CGI
673,BRAF,C0919267,ovarian neoplasm,CGI
673,BRAF,C1140680,Malignant neoplasm of ovary,CGI
673,BRAF,C1266158,Nongerminomatous Germ Cell Tumor,CGI
673,BRAF,C1319315,Adenocarcinoma of large intestine,CGI
675,BRCA2,C0006142,Malignant neoplasm of breast,CGI
675,BRCA2,C0007112,Adenocarcinoma of prostate,CGI
675,BRCA2,C0029925,Ovarian Carcinoma,CGI
