entrez,symbol,term_id,term_name,source
781,CACNA2D1,C0428908,Sinus Node Dysfunction (disorder),CLINGEN
781,CACNA2D1,C1142166,Brugada Syndrome (disorder),CLINGEN
781,CACNA2D1,C2748542,"CARDIAC CONDUCTION DEFECT, NONSPECIFIC (disorder)",CLINGEN
781,CACNA2D1,C4551804,Brugada Syndrome 1,CLINGEN
783,CACNB2,C0007194,Hypertrophic Cardiomyopathy,CLINGEN
783,CACNB2,C0428908,Sinus Node Dysfunction (disorder),CLINGEN
783,CACNB2,C1142166,Brugada Syndrome (disorder),CLINGEN
783,CACNB2,C2748542,"CARDIAC CONDUCTION DEFECT, NONSPECIFIC (disorder)",CLINGEN
783,CACNB2,C4551804,Brugada Syndrome 1,CLINGEN
785,CACNB4,C0014544,Epilepsy,CLINGEN
788,SLC25A20,C0342791,Carnitine-Acylcarnitine Translocase Deficiency,CLINGEN
845,CASQ2,C0007194,Hypertrophic Cardiomyopathy,CLINGEN
861,RUNX1,C1832388,"Platelet Disorder, Familial, with Associated Myeloid Malignancy",CLINGEN
875,CBS,C0751202,Cystathionine beta-Synthase Deficiency Disease,CLINGEN
916,CD3E,C0085110,Severe Combined Immunodeficiency,CLINGEN
999,CDH1,C0346153,"Breast Cancer, Familial",CLINGEN
999,CDH1,C1112155,Hereditary non-polyposis colorectal cancer syndrome,CLINGEN
999,CDH1,C1333990,Hereditary Nonpolyposis Colorectal Cancer,CLINGEN
999,CDH1,C1333991,Hereditary Non-Polyposis Colon Cancer Type 2,CLINGEN
999,CDH1,C1708349,Hereditary Diffuse Gastric Cancer,CLINGEN
999,CDH1,C2936783,"Colorectal cancer, hereditary nonpolyposis, type 1",CLINGEN
1019,CDK4,C1836892,"MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 3",CLINGEN
1027,CDKN1B,C1112155,Hereditary non-polyposis colorectal cancer syndrome,CLINGEN
1027,CDKN1B,C1333990,Hereditary Nonpolyposis Colorectal Cancer,CLINGEN
1027,CDKN1B,C1333991,Hereditary Non-Polyposis Colon Cancer Type 2,CLINGEN
1027,CDKN1B,C1970712,"Multiple Endocrine Neoplasia, Type IV",CLINGEN
1027,CDKN1B,C2936783,"Colorectal cancer, hereditary nonpolyposis, type 1",CLINGEN
1027,CDKN1B,C4274947,Multiple endocrine neoplasia type 4,CLINGEN
1029,CDKN2A,C1838547,MELANOMA-PANCREATIC CANCER SYNDROME,CLINGEN
1050,CEBPA,C0023467,"Leukemia, Myelocytic, Acute",CLINGEN
1073,CFL2,C1853154,Nemaline Myopathy 7,CLINGEN
1111,CHEK1,C0346153,"Breast Cancer, Familial",CLINGEN
1183,CLCN4,C3501611,"Mental Retardation, X-Linked Nonsyndromic",CLINGEN
1280,COL2A1,C4225273,"SPONDYLOEPIPHYSEAL DYSPLASIA, STANESCU TYPE",CLINGEN
